strike,mid,T,iv,expiry
170.0,77.69999999999999,0.005479452054794521,1.819325129543305,2025-10-17
175.0,72.725,0.005479452054794521,1.8286711359748842,2025-10-17
180.0,67.95,0.005479452054794521,2.137854671702862,2025-10-17
185.0,62.724999999999994,0.005479452054794521,1.557064744983673,2025-10-17
190.0,58.150000000000006,0.005479452054794521,2.000904683071137,2025-10-17
195.0,52.925,0.005479452054794521,1.6385728883194925,2025-10-17
205.0,42.975,0.005479452054794521,1.3838799079470632,2025-10-17
210.0,37.85,0.005479452054794521,1.1228092318592071,2025-10-17
215.0,32.9,0.005479452054794521,1.0290511443791392,2025-10-17
217.5,30.299999999999997,0.005479452054794521,0.8647235557847025,2025-10-17
220.0,27.95,0.005479452054794521,0.9218975117113593,2025-10-17
222.5,25.325,0.005479452054794521,0.7573386571414471,2025-10-17
225.0,22.725,0.005479452054794521,0.5725106511230469,2025-10-17
227.5,20.775,0.005479452054794521,0.843217608204484,2025-10-17
230.0,17.975,0.005479452054794521,0.6418439521520136,2025-10-17
232.5,15.25,0.005479452054794521,0.4274782742762566,2025-10-17
235.0,13.024999999999999,0.005479452054794521,0.5100074449728726,2025-10-17
237.5,10.75,0.005479452054794521,0.49713463241529454,2025-10-17
240.0,8.45,0.005479452054794521,0.453328207498908,2025-10-17
242.5,6.325,0.005479452054794521,0.4224437689622045,2025-10-17
245.0,4.475,0.005479452054794521,0.40395053754961496,2025-10-17
247.5,2.95,0.005479452054794521,0.3905898610721231,2025-10-17
250.0,1.8,0.005479452054794521,0.38189563130080706,2025-10-17
252.5,1.025,0.005479452054794521,0.3787762228403688,2025-10-17
255.0,0.555,0.005479452054794521,0.38085553045749665,2025-10-17
257.5,0.295,0.005479452054794521,0.38806292266225806,2025-10-17
260.0,0.165,0.005479452054794521,0.4028556004440785,2025-10-17
262.5,0.095,0.005479452054794521,0.4199239831082821,2025-10-17
265.0,0.055,0.005479452054794521,0.43664546680927274,2025-10-17
267.5,0.045,0.005479452054794521,0.4740199557943344,2025-10-17
270.0,0.035,0.005479452054794521,0.5056986260638235,2025-10-17
272.5,0.025,0.005479452054794521,0.529881417705536,2025-10-17
275.0,0.015,0.005479452054794521,0.5420979832553863,2025-10-17
277.5,0.015,0.005479452054794521,0.583535124015808,2025-10-17
280.0,0.015,0.005479452054794521,0.6242856194057465,2025-10-17
282.5,0.005,0.005479452054794521,0.598469660823822,2025-10-17
285.0,0.005,0.005479452054794521,0.6347283510818482,2025-10-17
287.5,0.005,0.005479452054794521,0.6704720573120118,2025-10-17
290.0,0.005,0.005479452054794521,0.7057198529968263,2025-10-17
292.5,0.005,0.005479452054794521,0.7405289585838317,2025-10-17
295.0,0.005,0.005479452054794521,0.7748803005905152,2025-10-17
300.0,0.005,0.005479452054794521,0.8422859877929689,2025-10-17
305.0,0.005,0.005479452054794521,0.9081276494293214,2025-10-17
