Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,w_ew_SPY,w_ew_QQQ,w_ew_IWM,w_ew_EFA,w_ew_EEM,w_ew_TLT,w_ew_LQD,w_ew_GLD,w_rp_SPY,w_rp_QQQ,w_rp_IWM,w_rp_EFA,w_rp_EEM,w_rp_TLT,w_rp_LQD,w_rp_GLD,w_hrp_SPY,w_hrp_QQQ,w_hrp_IWM,w_hrp_EFA,w_hrp_EEM,w_hrp_TLT,w_hrp_LQD,w_hrp_GLD,ret_ew,ret_rp,ret_hrp,eq_ew,eq_rp,eq_hrp
2010-08-31,79.94915008544922,38.00455093383789,48.84511184692383,32.03508758544922,29.066913604736328,70.52271270751953,65.31309509277344,122.08000183105469,0.0,-0.0034454433858988054,-0.0019923202109688454,0.0030084005252590806,0.006009318467469882,0.011022325498646346,0.0033683517654408135,0.009630085060907234,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.003450089715106963,0.011022325498646346,0.00430445464539471,1.0034500897151069,1.0110223254986463,1.0043044546453948
2010-09-01,82.34059143066406,39.141353607177734,50.736263275146484,33.17689895629883,30.089981079101562,69.06453704833984,64.82228088378906,121.69000244140625,0.029473390455286186,0.029473631127210798,0.03798659796570725,0.03502203001965709,0.03459172404504374,-0.020893436998337123,-0.007543168528179933,-0.003199735123743608,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.01686387912033055,-0.020893436998337123,-0.005035035926896032,1.0203721507313472,0.989898594236928,0.9992477456347134
2010-09-02,83.10737609863281,39.5786018371582,51.29631423950195,33.3629264831543,30.140769958496094,68.33479309082031,64.74105072021484,122.29000091552734,0.009269260535964996,0.011109069467550636,0.010977995510768945,0.0055914787963500245,0.0016864771086999575,-0.010622334452834892,-0.0012539068455819091,0.004918433276591472,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.003959559174688654,-0.010622334452834892,-0.0007820743804670078,1.0244123746423723,0.9793835602945523,0.9984662595731132
2010-09-03,84.18538665771484,40.23444366455078,52.213470458984375,33.670841217041016,30.496309280395508,67.48776245117188,64.253662109375,121.86000061035156,0.012887891413103425,0.016434821783678277,0.017721613955609783,0.009186919073816302,0.011726930150984582,-0.012472768124298206,-0.0075567582498612396,-0.003522430858827086,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.00555077739302573,-0.012472768124298206,-0.00584659046221906,1.030098659692673,0.9671679362422487,0.9926286362630455
2010-09-07,83.23640441894531,39.96335983276367,51.223262786865234,33.20256042480469,30.05369758605957,68.86910247802734,64.72943115234375,122.69999694824219,-0.011336545810780585,-0.006760406205958969,-0.019146736202880543,-0.014005222854175603,-0.014619967890794339,0.020261352931083998,0.007377264550074258,0.006869477016185677,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,-0.003920098058405763,0.020261352931083998,0.006780793032085245,1.0260605719368452,0.9867640671420811,0.9993594456032664
2010-09-08,83.82099151611328,40.4443359375,51.5235595703125,33.459144592285156,30.38020896911621,68.32176971435547,64.60177612304688,122.70999908447266,0.006998666297273637,0.011963577288084615,0.005845390282973373,0.0076981359699495044,0.010805674452928571,-0.007979184895606117,-0.001974079936962525,8.151368239062151e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.00417996164262896,-0.007979184895606117,-0.0015578536626377735,1.0303494657705552,0.9788904942020141,0.9978025898306417
2010-09-09,84.20817565917969,40.60175323486328,51.556034088134766,33.773475646972656,30.554353713989258,66.97308349609375,64.26526641845703,121.55999755859375,0.004608543086275674,0.003884641367122299,0.000630086280787534,0.009350620095915474,0.00571581090668305,-0.019937652649978155,-0.005222599398988059,-0.009415892562922856,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,-0.00129830535938813,-0.019937652649978155,-0.006238917484041264,1.0290117575371025,0.959373715546249,0.9915773818073257
2010-09-10,84.63330078125,40.750396728515625,51.718360900878906,33.876102447509766,30.663192749023438,66.66682434082031,64.31170654296875,121.7300033569336,0.005035800793010026,0.0036543265085415833,0.0031436048875601585,0.0030340730025604223,0.003555815481052882,-0.004583356818582018,0.0007223708174421972,0.0013975570337532162,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.0019950239631673083,-0.004583356818582018,0.0005177202037976215,1.03106466065177,0.9549765634855317,0.9920907414515161
2010-09-13,85.5746841430664,41.31880187988281,52.97640609741211,34.49192428588867,31.396034240722656,66.99264526367188,64.39873504638672,121.62000274658203,0.011061677996414332,0.013852072391847159,0.024033784845642447,0.018015394720496847,0.023618584830650935,0.004875398192122127,0.0013523147866809637,-0.0009040527231123363,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.01198814688009281,0.004875398192122127,0.0029273002312439006,1.0434252152465364,0.9596324544966681,0.9949948889083822
2010-09-14,85.52155303955078,41.49368667602539,52.74916458129883,34.72284698486328,31.381521224975586,67.6376724243164,64.70042419433594,124.0199966430664,-0.0006210669047819195,0.004223639675003277,-0.004298711552671364,0.006672666875691569,-0.00046236320920600704,0.00958227102546605,0.0046737670314920265,0.01954136357877978,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016955701386458653,0.014754551807589533,0.03196163193187126,0.009674728278133093,0.00873681247624147,0.0945766694343672,0.7400391002258199,0.083300804459519,0.004913945814971676,0.00958227102546605,0.005967751041458015,1.048552550216233,0.9688279127604884,1.0009327706929105
